,avg_cur_bal,acc_open_past_24mths,inq_last_12m,total_cu_tl,inq_fi,total_rev_hi_lim,all_util,max_bal_bc,open_rv_24m,open_rv_12m,total_bal_il,open_il_24m,open_il_12m,open_act_il,open_acc_6m,tot_cur_bal,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,total_bc_limit,total_bal_ex_mort,tot_hi_cred_lim,pct_tl_nvr_dlq,num_tl_op_past_12m,tot_coll_amt,num_sats,num_rev_accts,num_op_rev_tl,num_il_tl,num_bc_tl,num_bc_sats,num_actv_rev_tl,num_actv_bc_tl,num_accts_ever_120_pd,num_rev_tl_bal_gt_0,last_fico_range_low,last_fico_range_high,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_range_low,total_il_high_credit_limit,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,fico_range_high,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_acc,last_pymnt_amnt,last_pymnt_d,last_credit_pull_d,term,grade,loan_status,home_ownership,verification_status,purpose,addr_state,sub_grade
0,20701.0,4.0,4.0,1.0,3.0,9300.0,34.0,722.0,3.0,3.0,4981.0,1.0,0.0,2.0,2.0,144904.0,128.0,3.0,3.0,1.0,2400.0,7746.0,178050.0,76.9,3.0,722.0,7.0,9.0,4.0,3.0,5.0,2.0,4.0,2.0,2.0,4.0,560.0,564.0,3600.0,3600.0,3600.0,13.99,123.03,55000.0,5.91,0.0,675.0,13734.0,1.0,7.0,0.0,2765.0,29.7,679.0,0.0,0.0,4421.723916800001,4421.72,3600.0,821.72,13.0,122.67,Jan-2019,Mar-2019, 36 months,C,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,PA,C4
1,9733.0,4.0,6.0,0.0,0.0,111800.0,29.0,6472.0,3.0,2.0,18005.0,1.0,0.0,1.0,1.0,204396.0,192.0,2.0,2.0,4.0,79300.0,39475.0,314017.0,97.4,2.0,0.0,22.0,27.0,20.0,6.0,17.0,13.0,5.0,5.0,0.0,5.0,695.0,699.0,24700.0,24700.0,24700.0,11.99,820.28,65000.0,16.06,1.0,715.0,24667.0,4.0,22.0,0.0,21470.0,19.2,719.0,0.0,0.0,25679.66,25679.66,24700.0,979.66,38.0,926.35,Jun-2016,Mar-2019, 36 months,C,Fully Paid,MORTGAGE,Not Verified,small_business,SD,C1
2,31617.0,6.0,1.0,5.0,2.0,14000.0,65.0,2081.0,2.0,0.0,10827.0,4.0,0.0,1.0,0.0,189699.0,184.0,14.0,14.0,5.0,6200.0,18696.0,218418.0,100.0,0.0,0.0,6.0,7.0,4.0,6.0,4.0,2.0,3.0,2.0,0.0,3.0,700.0,704.0,20000.0,20000.0,20000.0,10.78,432.66,63000.0,10.78,0.0,695.0,14877.0,0.0,6.0,0.0,7869.0,56.2,699.0,0.0,0.0,22705.9242938784,22705.92,20000.0,2705.92,18.0,15813.3,Jun-2017,Mar-2019, 60 months,B,Fully Paid,MORTGAGE,Not Verified,home_improvement,IL,B4
3,23192.0,2.0,0.0,1.0,0.0,67300.0,45.0,6987.0,1.0,1.0,12609.0,1.0,0.0,1.0,1.0,301500.0,87.0,2.0,2.0,1.0,62500.0,52226.0,381215.0,100.0,1.0,0.0,13.0,13.0,10.0,2.0,10.0,8.0,5.0,4.0,0.0,5.0,675.0,679.0,35000.0,35000.0,35000.0,14.85,829.9,110000.0,17.06,0.0,785.0,18000.0,0.0,13.0,0.0,7802.0,11.6,789.0,15897.65,15897.65,31464.01,31464.01,19102.35,12361.66,17.0,829.9,Feb-2019,Mar-2019, 60 months,C,Current,MORTGAGE,Source Verified,debt_consolidation,NJ,C5
4,27644.0,10.0,3.0,1.0,2.0,34000.0,78.0,9702.0,7.0,4.0,73839.0,3.0,0.0,3.0,1.0,331730.0,210.0,4.0,4.0,6.0,20300.0,95768.0,439570.0,96.6,4.0,0.0,12.0,19.0,7.0,10.0,9.0,5.0,6.0,4.0,0.0,6.0,700.0,704.0,10400.0,10400.0,10400.0,22.45,289.91,104433.0,25.37,1.0,695.0,88097.0,3.0,12.0,0.0,21929.0,64.5,699.0,0.0,0.0,11740.5,11740.5,10400.0,1340.5,35.0,10128.96,Jul-2016,Mar-2018, 60 months,F,Fully Paid,MORTGAGE,Source Verified,major_purchase,PA,F1
5,2560.0,0.0,0.0,0.0,0.0,12900.0,76.0,4522.0,0.0,0.0,3976.0,0.0,0.0,1.0,0.0,12798.0,54.0,32.0,32.0,0.0,9400.0,12798.0,16900.0,100.0,0.0,0.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,755.0,759.0,11950.0,11950.0,11950.0,13.44,405.18,34000.0,10.2,0.0,690.0,4000.0,0.0,5.0,0.0,8822.0,68.4,694.0,0.0,0.0,13708.9485297572,13708.95,11950.0,1758.95,6.0,7653.56,May-2017,May-2017, 36 months,C,Fully Paid,RENT,Source Verified,debt_consolidation,GA,C3
6,30030.0,6.0,1.0,0.0,1.0,94200.0,74.0,13048.0,3.0,2.0,29433.0,2.0,0.0,2.0,0.0,360358.0,306.0,10.0,10.0,4.0,31500.0,116762.0,388852.0,96.3,2.0,0.0,12.0,16.0,9.0,7.0,5.0,4.0,6.0,4.0,0.0,6.0,650.0,654.0,20000.0,20000.0,20000.0,9.17,637.58,180000.0,14.67,0.0,680.0,46452.0,0.0,12.0,0.0,87329.0,84.5,684.0,0.0,0.0,21393.800000011,21393.8,20000.0,1393.8,27.0,15681.05,Nov-2016,Mar-2019, 36 months,B,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,MN,B2
7,17700.0,4.0,2.0,0.0,1.0,14500.0,55.0,640.0,0.0,0.0,27111.0,4.0,0.0,3.0,0.0,141601.0,55.0,32.0,13.0,3.0,14500.0,27937.0,193390.0,93.3,0.0,0.0,8.0,3.0,3.0,9.0,3.0,3.0,2.0,2.0,1.0,2.0,670.0,674.0,20000.0,20000.0,20000.0,8.49,631.26,85000.0,17.61,1.0,705.0,36144.0,0.0,8.0,0.0,826.0,5.7,709.0,0.0,0.0,21538.508976797,21538.51,20000.0,1538.51,15.0,14618.23,Jan-2017,Mar-2019, 36 months,B,Fully Paid,MORTGAGE,Not Verified,major_purchase,SC,B1
8,1997.0,7.0,1.0,0.0,2.0,30300.0,46.0,2524.0,7.0,2.0,17493.0,0.0,0.0,1.0,2.0,27957.0,129.0,1.0,1.0,1.0,16400.0,27957.0,61099.0,95.7,2.0,8341.0,14.0,19.0,13.0,3.0,10.0,7.0,9.0,6.0,0.0,9.0,715.0,719.0,10000.0,10000.0,10000.0,6.49,306.45,85000.0,13.07,0.0,685.0,30799.0,1.0,14.0,1.0,10464.0,34.5,689.0,0.0,0.0,10998.9715749644,10998.97,10000.0,998.97,23.0,1814.48,Aug-2018,Mar-2019, 36 months,A,Fully Paid,RENT,Not Verified,credit_card,PA,A2
9,28528.0,5.0,1.0,0.0,0.0,18000.0,49.0,4725.0,2.0,0.0,106748.0,3.0,2.0,2.0,0.0,199696.0,253.0,15.0,10.0,1.0,17000.0,113782.0,256513.0,94.4,2.0,0.0,8.0,11.0,5.0,5.0,6.0,3.0,3.0,3.0,1.0,3.0,675.0,679.0,8000.0,8000.0,8000.0,11.48,263.74,42000.0,34.8,0.0,700.0,135513.0,0.0,8.0,0.0,7034.0,39.1,704.0,0.0,0.0,8939.5805031401,8939.58,8000.0,939.58,18.0,4996.24,Apr-2017,Nov-2018, 36 months,B,Fully Paid,MORTGAGE,Not Verified,credit_card,RI,B5
10,23514.0,9.0,0.0,5.0,1.0,39800.0,54.0,8121.0,6.0,3.0,171328.0,3.0,0.0,5.0,1.0,376218.0,248.0,1.0,1.0,5.0,21000.0,184356.0,436841.0,97.0,3.0,0.0,16.0,15.0,10.0,15.0,5.0,4.0,8.0,3.0,2.0,8.0,585.0,589.0,22400.0,22400.0,22400.0,12.88,508.3,95000.0,22.98,0.0,710.0,191682.0,0.0,16.0,0.0,13028.0,32.7,714.0,9912.88,9912.88,19275.33,19275.33,12487.12,6788.21,35.0,508.3,Feb-2019,Mar-2019, 60 months,C,Current,MORTGAGE,Not Verified,debt_consolidation,SC,C2
11,24167.0,3.0,1.0,0.0,0.0,51000.0,64.0,8739.0,1.0,1.0,33702.0,2.0,0.0,2.0,0.0,265836.0,334.0,9.0,9.0,2.0,45900.0,62407.0,309638.0,100.0,1.0,0.0,13.0,21.0,10.0,6.0,12.0,5.0,6.0,4.0,0.0,6.0,750.0,754.0,16000.0,16000.0,16000.0,12.88,363.07,70000.0,26.4,0.0,720.0,45838.0,0.0,13.0,0.0,28705.0,56.3,724.0,7080.7,7080.7,13768.04,13768.04,8919.3,4848.74,29.0,363.07,Feb-2019,Mar-2019, 60 months,C,Current,MORTGAGE,Not Verified,debt_consolidation,TX,C2
12,19159.0,4.0,0.0,2.0,0.0,56300.0,67.0,7386.0,2.0,0.0,37430.0,2.0,1.0,3.0,1.0,325695.0,234.0,18.0,2.0,4.0,34500.0,75258.0,372109.0,100.0,1.0,0.0,17.0,17.0,12.0,3.0,11.0,8.0,11.0,7.0,0.0,11.0,700.0,704.0,1400.0,1400.0,1400.0,12.88,47.1,64000.0,34.95,0.0,700.0,55501.0,0.0,17.0,0.0,37828.0,67.2,704.0,0.0,0.0,1575.160697674,1575.16,1400.0,175.16,24.0,965.36,Mar-2017,Sep-2018, 36 months,C,Fully Paid,MORTGAGE,Not Verified,other,NC,C2
13,2014.0,7.0,2.0,1.0,2.0,34500.0,55.0,1271.0,4.0,2.0,22195.0,3.0,1.0,2.0,2.0,36247.0,112.0,1.0,1.0,2.0,10300.0,36247.0,65819.0,100.0,3.0,60.0,18.0,19.0,16.0,6.0,8.0,7.0,13.0,6.0,0.0,13.0,580.0,584.0,18000.0,18000.0,18000.0,19.48,471.7,150000.0,9.39,0.0,665.0,31319.0,1.0,18.0,1.0,14052.0,40.7,669.0,0.0,0.0,9452.74,9452.74,3481.86,4351.98,27.0,471.7,May-2017,Nov-2017, 60 months,E,Charged Off,RENT,Not Verified,debt_consolidation,CA,E2
14,13819.0,1.0,0.0,1.0,0.0,79900.0,61.0,8752.0,1.0,0.0,23413.0,0.0,0.0,2.0,0.0,221110.0,379.0,19.0,19.0,2.0,41500.0,74920.0,304003.0,91.7,0.0,0.0,16.0,18.0,13.0,4.0,11.0,9.0,9.0,7.0,0.0,9.0,760.0,764.0,28000.0,28000.0,28000.0,6.49,858.05,92000.0,21.6,0.0,720.0,42503.0,0.0,16.0,0.0,51507.0,64.5,724.0,0.0,0.0,29939.017729337003,29939.02,28000.0,1939.02,24.0,17093.51,May-2017,Mar-2019, 36 months,A,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,NC,A2
15,7912.0,2.0,2.0,0.0,0.0,13000.0,50.0,4744.0,2.0,2.0,47665.0,0.0,0.0,3.0,0.0,55387.0,91.0,9.0,9.0,0.0,12500.0,55387.0,88635.0,100.0,2.0,0.0,7.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,0.0,3.0,775.0,779.0,9600.0,9600.0,9600.0,7.49,298.58,60000.0,22.44,0.0,695.0,75635.0,0.0,7.0,0.0,7722.0,59.4,699.0,0.0,0.0,10636.0984276928,10636.1,9600.0,1036.1,9.0,3480.17,Feb-2018,Aug-2018, 36 months,A,Fully Paid,MORTGAGE,Not Verified,credit_card,SC,A4
16,33976.0,2.0,1.0,0.0,1.0,38400.0,57.0,8937.0,1.0,0.0,47194.0,1.0,0.0,3.0,0.0,305781.0,168.0,13.0,13.0,3.0,38400.0,68056.0,373572.0,100.0,0.0,0.0,9.0,9.0,5.0,7.0,6.0,5.0,3.0,3.0,0.0,3.0,720.0,724.0,25000.0,25000.0,25000.0,7.49,777.55,109000.0,26.02,0.0,745.0,82117.0,1.0,9.0,0.0,20862.0,54.3,749.0,0.0,0.0,26224.23,26224.23,25000.0,1224.23,19.0,20807.39,Sep-2016,Apr-2017, 36 months,A,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,VA,A4
17,17089.0,5.0,1.0,1.0,0.0,82400.0,38.0,7672.0,3.0,2.0,25416.0,2.0,2.0,1.0,3.0,205067.0,265.0,1.0,1.0,4.0,69800.0,36127.0,309710.0,100.0,4.0,0.0,16.0,17.0,15.0,6.0,12.0,12.0,6.0,5.0,0.0,6.0,790.0,794.0,18000.0,18000.0,18000.0,11.99,400.31,112000.0,8.68,0.0,800.0,26210.0,0.0,17.0,0.0,10711.0,15.5,804.0,0.0,0.0,18387.22,18387.22,18000.0,387.22,27.0,18004.9,Mar-2016,Mar-2019, 60 months,C,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,AZ,C1
18,3549.0,3.0,1.0,3.0,0.0,47300.0,68.0,9516.0,3.0,2.0,38946.0,0.0,0.0,7.0,0.0,63886.0,171.0,8.0,8.0,0.0,39500.0,63886.0,93962.0,87.9,2.0,0.0,21.0,19.0,14.0,14.0,8.0,7.0,8.0,6.0,0.0,8.0,740.0,744.0,23000.0,23000.0,23000.0,8.49,471.77,64000.0,18.28,0.0,700.0,46662.0,0.0,21.0,0.0,24940.0,52.7,704.0,9580.2,9580.2,17900.14,17900.14,13419.8,4480.34,33.0,471.77,Feb-2019,Mar-2019, 60 months,B,Current,RENT,Not Verified,credit_card,NY,B1
19,1051.0,17.0,5.0,0.0,2.0,20750.0,46.0,653.0,16.0,12.0,9358.0,1.0,0.0,1.0,6.0,18926.0,95.0,0.0,0.0,0.0,2750.0,18926.0,38998.0,100.0,12.0,0.0,18.0,17.0,17.0,2.0,2.0,2.0,17.0,2.0,0.0,13.0,635.0,639.0,8650.0,8650.0,8650.0,19.89,320.99,55000.0,25.49,0.0,675.0,18248.0,4.0,18.0,1.0,9568.0,46.0,679.0,0.0,0.0,9190.49,9190.49,8650.0,540.49,19.0,8251.42,May-2016,Jun-2016, 36 months,E,Fully Paid,RENT,Verified,debt_consolidation,IN,E3
20,15732.0,7.0,1.0,4.0,0.0,67800.0,51.0,12971.0,5.0,3.0,10815.0,2.0,1.0,1.0,2.0,220251.0,139.0,5.0,5.0,2.0,34000.0,42497.0,271700.0,100.0,4.0,0.0,15.0,21.0,13.0,8.0,9.0,4.0,5.0,2.0,0.0,5.0,715.0,719.0,29900.0,29900.0,29900.0,12.88,678.49,65000.0,21.77,0.0,715.0,15574.0,0.0,15.0,0.0,31682.0,46.7,719.0,0.0,0.0,34033.2141762065,34033.21,29900.0,4133.21,31.0,25234.24,Mar-2017,Jan-2018, 60 months,C,Fully Paid,MORTGAGE,Verified,debt_consolidation,MD,C2
21,2848.0,6.0,1.0,0.0,0.0,284700.0,65.0,14982.0,4.0,1.0,12221.0,2.0,1.0,2.0,1.0,31329.0,294.0,11.0,6.0,2.0,281300.0,31329.0,298100.0,78.9,2.0,0.0,11.0,11.0,9.0,6.0,8.0,6.0,9.0,6.0,2.0,9.0,660.0,664.0,16000.0,16000.0,16000.0,14.85,379.39,48000.0,33.18,0.0,685.0,13400.0,0.0,11.0,2.0,19108.0,29.6,689.0,0.0,0.0,19498.0921090548,19498.09,16000.0,3498.09,19.0,12322.68,Sep-2017,Sep-2017, 60 months,C,Fully Paid,MORTGAGE,Not Verified,credit_card,SC,C5
