,Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
0,1000.0,2007-05-26,Wedding Covered but No Honeymoon,693.0,10%,481xx,NM,4 years,0.0
1,1000.0,2007-05-26,Consolidating Debt,703.0,10%,010xx,MA,< 1 year,0.0
2,11000.0,2007-05-27,Want to consolidate my debt,715.0,10%,212xx,MD,1 year,0.0
3,6000.0,2007-05-27,waksman,698.0,38.64%,017xx,MA,< 1 year,0.0
4,1500.0,2007-05-27,mdrigo,509.0,9.43%,209xx,MD,< 1 year,0.0
5,15000.0,2007-05-27,Trinfiniti,645.0,0%,105xx,NY,3 years,0.0
6,10000.0,2007-05-27,NOTIFYi Inc,693.0,10%,210xx,MD,< 1 year,0.0
7,3900.0,2007-05-27,For Justin.,700.0,10%,469xx,IN,2 years,0.0
8,3000.0,2007-05-28,title?,694.0,10%,808xx,CO,4 years,0.0
9,2500.0,2007-05-28,timgerst,573.0,11.76%,407xx,KY,4 years,0.0
10,3900.0,2007-05-28,need to consolidate,710.0,10%,705xx,LA,10+ years,0.0
11,1000.0,2007-05-28,sixstrings,680.0,10%,424xx,KY,1 year,0.0
12,3000.0,2007-05-28,bmoore5110,688.0,10%,190xx,PA,< 1 year,0.0
13,1500.0,2007-05-28,MHarkins,704.0,10%,189xx,PA,3 years,0.0
14,1000.0,2007-05-28,Moving,694.0,10%,354xx,AL,< 1 year,0.0
15,8000.0,2007-05-28,Recent College Grad Wants to Pay Off CCs,708.0,10%,374xx,TN,< 1 year,0.0
16,12000.0,2007-05-29,FoundersCafe.com,685.0,10%,770xx,TX,3 years,0.0
17,1000.0,2007-05-29,UChicago2004,698.0,10%,207xx,MD,3 years,0.0
18,15000.0,2007-05-29,Cancer is Killing My Credit,680.0,10%,432xx,OH,< 1 year,0.0
19,5000.0,2007-05-29,2006-2007 College Debt Loan,680.0,10%,011xx,MA,< 1 year,0.0
20,15000.0,2007-05-29,twbmc,712.0,10%,773xx,TX,< 1 year,0.0
21,5000.0,2007-05-29,Bills & Vacation,704.0,10%,212xx,MD,1 year,0.0
22,4950.0,2007-05-29,Vehicle Purchase/Used Auto,693.0,10%,220xx,VA,2 years,0.0
23,6100.0,2007-05-29,thejanman,684.0,24.69%,453xx,OH,2 years,0.0
24,12000.0,2007-05-29,Finish Off College,704.0,10%,462xx,IN,2 years,0.0
25,25000.0,2007-05-29,Phuocpnn,686.0,10%,631xx,MO,< 1 year,0.0
26,15000.0,2007-05-29,Established borrower consolodating debt,698.0,15.56%,559xx,MN,< 1 year,0.0
27,5000.0,2007-05-29,mainmanandy,719.0,10%,457xx,OH,< 1 year,0.0
28,10000.0,2007-05-30,Jaguar10301,602.0,2.25%,221xx,VA,< 1 year,0.0
29,10000.0,2007-05-30,rpinho78,475.0,21.77%,061xx,CT,< 1 year,0.0
30,1000.0,2007-05-30,ashtru,695.0,0%,443xx,OH,< 1 year,0.0
31,4000.0,2007-05-30,sparks,671.0,36.8%,630xx,MO,< 1 year,0.0
32,7000.0,2007-05-30,big fat lender,638.0,17.73%,941xx,CA,< 1 year,0.0
33,25000.0,2007-05-30,toeeeekne,671.0,4.5%,483xx,FL,2 years,0.0
34,1000.0,2007-05-30,stnthoma22,429.0,15.92%,462xx,IN,2 years,0.0
35,6500.0,2007-05-30,natbunn,632.0,12.98%,773xx,TX,< 1 year,0.0
36,2000.0,2007-05-30,SGearhart1381,579.0,32.64%,658xx,MO,< 1 year,0.0
37,15000.0,2007-05-30,2dozen,474.0,1.55%,453xx,OH,4 years,0.0
38,6000.0,2007-05-30,Good Heart Bad Credit!,463.0,12.34%,953xx,CA,1 year,0.0
39,2500.0,2007-05-31,mbcoon,593.0,18.43%,790xx,TX,1 year,0.0
40,12500.0,2007-05-31,boardwalk,578.0,31.82%,775xx,TX,9 years,0.0
41,3000.0,2007-05-31,danthe83,536.0,0%,551xx,MN,< 1 year,0.0
42,7500.0,2007-05-31,maryk2001,524.0,61.47%,316xx,GA,5 years,0.0
43,5000.0,2007-05-31,ppatti113,520.0,8.93%,024xx,MA,1 year,0.0
44,5000.0,2007-05-31,spidermonkey07,0.0,6%,448xx,OH,< 1 year,0.0
45,4000.0,2007-05-31,brock1jd,658.0,43.8%,480xx,MN,< 1 year,0.0
46,1000.0,2007-05-31,jprice1542,0.0,4.61%,373xx,TN,< 1 year,0.0
47,5000.0,2007-05-31,mashowar,492.0,15.73%,474xx,IN,4 years,0.0
48,1000.0,2007-05-31,jaynesweet,581.0,28.04%,681xx,NE,2 years,0.0
49,1000.0,2007-06-01,memorial,543.0,41.35%,328xx,FL,2 years,0.0
50,6025.0,2007-06-01,Fleurdetragedie,660.0,69.84%,301xx,GA,2 years,0.0
51,10000.0,2007-06-01,jfirson,503.0,61.07%,668xx,KS,1 year,0.0
52,3000.0,2007-06-01,cdc,556.0,20.91%,786xx,TX,1 year,0.0
53,10000.0,2007-06-01,katiemass,480.0,8.7%,452xx,OH,1 year,0.0
54,2100.0,2007-06-01,A clean sweep before buying a new house,684.0,10%,208xx,MD,1 year,0.0
55,5000.0,2007-06-01,kennysack,592.0,53.76%,477xx,IN,< 1 year,0.0
56,10000.0,2007-06-01,dreamerabove,600.0,3.84%,021xx,MA,< 1 year,0.0
57,1200.0,2007-06-01,jflack,524.0,0%,720xx,AR,4 years,0.0
58,4000.0,2007-06-01,ceodiva,460.0,0%,302xx,GA,< 1 year,0.0
59,15000.0,2007-06-01,joelforeman,654.0,27.48%,328xx,FL,2 years,0.0
60,1000.0,2007-06-01,auburnmk23,486.0,12.4%,368xx,AL,< 1 year,0.0
61,2500.0,2007-06-01,Scott Stowe,520.0,13.1%,460xx,IN,1 year,0.0
62,5000.0,2007-06-01,iamheatherleigh,0.0,0%,405xx,KY,5 years,0.0
63,2500.0,2007-06-01,Paying for college,547.0,29.16%,331xx,FL,< 1 year,0.0
64,1000.0,2007-06-01,alivrum,454.0,7.68%,434xx,OH,< 1 year,0.0
65,5000.0,2007-06-02,wbnd44,509.0,20%,436xx,OH,1 year,0.0
66,5000.0,2007-06-02,skyydogg,0.0,0%,535xx,WI,1 year,0.0
67,1500.0,2007-06-02,Svengar7,665.0,0%,191xx,PA,< 1 year,0.0
68,1000.0,2007-06-02,sopinksolovely,454.0,11.12%,113xx,NY,2 years,0.0
69,1000.0,2007-06-02,angelbabe,561.0,1.07%,104xx,NY,< 1 year,0.0
70,8000.0,2007-06-02,K9Genetics,565.0,11.67%,852xx,AZ,1 year,0.0
71,3500.0,2007-06-02,zminer,479.0,1.73%,805xx,CO,< 1 year,0.0
72,2500.0,2007-06-02,moecheeks21,444.0,0%,674xx,KS,< 1 year,0.0
73,25000.0,2007-06-02,Lilly,549.0,20.06%,852xx,AZ,4 years,0.0
74,4500.0,2007-06-02,QuisyFBaby,599.0,16.8%,212xx,MD,< 1 year,0.0
75,2000.0,2007-06-03,thesassaman,650.0,0%,980xx,WA,< 1 year,0.0
76,10000.0,2007-06-03,regan117,607.0,23.1%,182xx,PA,1 year,0.0
77,3500.0,2007-06-03,manx203,0.0,0%,151xx,PA,< 1 year,0.0
78,5000.0,2007-06-03,eswist,419.0,3.48%,773xx,TX,1 year,0.0
79,11000.0,2007-06-03,Consolidate Prosper,758.0,37.3%,972xx,OR,1 year,0.0
80,1500.0,2007-06-03,matt12amazing,504.0,27.45%,660xx,KS,< 1 year,0.0
81,1500.0,2007-06-04,dEs,711.0,58.8%,303xx,GA,1 year,0.0
82,1000.0,2007-06-04,I'm trying to repair my credit by paying off some old debts.,530.0,8.51%,722xx,AR,< 1 year,0.0
83,7000.0,2007-06-04,jd2427,473.0,23.96%,300xx,GA,< 1 year,0.0
84,25000.0,2007-06-04,Annieb6283,606.0,4.9%,191xx,PA,< 1 year,0.0
85,10000.0,2007-06-04,LenaPresley,502.0,0%,282xx,NC,< 1 year,0.0
86,4000.0,2007-06-04,bhissam,497.0,9.87%,261xx,WV,1 year,0.0
87,2500.0,2007-06-04,Jonelle's Study Abroad,709.0,10%,112xx,NY,< 1 year,0.0
88,3000.0,2007-06-04,belle54304,412.0,20.01%,543xx,WI,1 year,0.0
89,1000.0,2007-06-04,KB143,506.0,13.01%,372xx,TN,3 years,0.0
90,7500.0,2007-06-04,fsallustio,472.0,14.36%,021xx,MA,7 years,0.0
91,2000.0,2007-06-04,mlishuslymotvatd,507.0,0%,137xx,NY,< 1 year,0.0
92,1000.0,2007-06-04,Gballgamer,567.0,16.58%,805xx,CO,< 1 year,0.0
93,1100.0,2007-06-04,MATTHEW,551.0,0.72%,334xx,FL,4 years,0.0
94,3000.0,2007-06-04,saxman6160,0.0,4.05%,800xx,CO,< 1 year,0.0
95,1000.0,2007-06-05,queenlurline,0.0,0.86%,846xx,UT,< 1 year,0.0
